[00:00:00 -> 00:00:04]  ʻOke, ʻnde tʃu kulu salam bzarew ye timrt video jela tʃe karew kut
[00:00:04 -> 00:00:09]  ʻle mdʒem maryamet ʻuniversity tamarew tʃu ʻim freshman kors kamipalowus ʻim common kors
[00:00:09 -> 00:00:13]  ʻbilen kamentaraw general physics ʻim physics asras raʻndʒeno maʻatno
[00:00:13 -> 00:00:18]  ʻe hinen timrt ʻia normali bəmudʒul məlk ʻia zəgadʒut
[00:00:18 -> 00:00:21]  ʻMinister of Science and Higher Education ʻno
[00:00:21 -> 00:00:24]  bəzʻu university tʃu participate ʻadrəgʻo ʻia zəgadʒut maʻlatno
[00:00:24 -> 00:00:29]  ʻna zari məni bə powerpoint məlk lənta bə mətʃunita ʻakrəbi ʻadrəgʻo maʻatno
[00:00:29 -> 00:00:32]  ʻle youtube tʃanal wadisi ʻona tʃu subscribe ʻia dərgatʃu
[00:00:32 -> 00:00:36]  ʻphysics ʻin kanikar tamarew ʻadrəgʻo maʻatno
[00:00:36 -> 00:00:39]  ʻata yon video tʃu badʒirkan saraʻdʒo ʻadrəgʻo maʻlatno
[00:00:39 -> 00:00:44]  ʻsɨləzək chapter one preliminary blendment ʻalə
[00:00:44 -> 00:00:46]  ʻia maʻlat yeme dʒemrə ono
[00:00:46 -> 00:00:49]  physical quantity and measurement no
[00:00:49 -> 00:00:51]  basic ʻona nəgər no
[00:00:51 -> 00:00:53]  ʻenəm yeme dʒemrə masarət nəgər
[00:00:53 -> 00:00:55]  blendment ʻaw unit nənti tʃinəit unit
[00:00:55 -> 00:00:58]  ʻəsələzək asrənən ʻia kəfələ
[00:00:58 -> 00:01:01]  physics unit ələ ʻe tamare tʃut maʻatno
[00:01:01 -> 00:01:03]  dʒum chemistry ələ ʻe tamare tʃut no maʻatno
[00:01:03 -> 00:01:08]  əsələzək physical quantity ʻe basic physical quantity
[00:01:09 -> 00:01:11]  blendment ələ tʃut
[00:01:11 -> 00:01:13]  maʻlat physical quantity ələ tənkəflə ələn
[00:01:13 -> 00:01:15]  basic physical quantity ələn
[00:01:15 -> 00:01:17]  driver physical quantity ələn
[00:01:17 -> 00:01:19]  ələn nənta dəsərələm kəgərəsəvən dʒemrə tʃut
[00:01:19 -> 00:01:21]  məttaqwa tʃut nəgərə tʃut
[00:01:21 -> 00:01:23]  basic physical quantity ələn
[00:01:23 -> 00:01:25]  driver ələn ələn
[00:01:25 -> 00:01:27]  quantitative measurement
[00:01:27 -> 00:01:29]  length, mass, time
[00:01:29 -> 00:01:31]  current ələn
[00:01:31 -> 00:01:33]  intensity
[00:01:33 -> 00:01:35]  basic physical quantity ələn
[00:01:35 -> 00:01:37]  basic physical quantity ələn
[00:01:37 -> 00:01:39]  unit ələn
[00:01:39 -> 00:01:41]  length
[00:01:41 -> 00:01:43]  mass
[00:01:43 -> 00:01:45]  time
[00:01:45 -> 00:01:47]  second
[00:01:47 -> 00:01:49]  temperature
[00:01:49 -> 00:01:51]  electric current
[00:01:51 -> 00:01:53]  ampere
[00:01:53 -> 00:01:55]  amount of substance
[00:01:55 -> 00:01:57]  brightness of light
[00:01:57 -> 00:01:59]  brightness of light
[00:01:59 -> 00:02:01]  basic
[00:02:01 -> 00:02:03]  basic
[00:02:03 -> 00:02:05]  driver
[00:02:09 -> 00:02:11]  measure
[00:02:11 -> 00:02:13]  length
[00:02:13 -> 00:02:15]  unit
[00:02:15 -> 00:02:17]  meter
[00:02:17 -> 00:02:19]  mass
[00:02:19 -> 00:02:21]  kilo gram
[00:02:21 -> 00:02:23]  time
[00:02:23 -> 00:02:25]  second
[00:02:25 -> 00:02:27]  temperature
[00:02:27 -> 00:02:29]  temperature
[00:02:29 -> 00:02:31]  Kelvin
[00:02:31 -> 00:02:41]  Electric Current, Ampere, Amount of Substance, Amount of Substance, Mole
[00:02:42 -> 00:02:46]  Luminous Intensity, Brightness of Light
[00:03:46 -> 00:04:06]  Electric Current, Ampere, Ampere, Ampere, Mole
[00:04:06 -> 00:04:09]  any measurement perfect
[00:04:09 -> 00:04:12]  maaleta aichal maaletanu. Selezig zeiriz
[00:04:12 -> 00:04:15]  error, yaadegu errorun menay bet menged
[00:04:15 -> 00:04:18]  uncertainty no maaletanu. Selezig uncertainty mejer siterek by the way
[00:04:18 -> 00:04:21]  ghulet tayinit error ushnum berandemdi noichal
[00:04:21 -> 00:04:24]  sistematically early noichal maaletanu.
[00:04:24 -> 00:04:27]  Selezig yeme jemerew
[00:04:27 -> 00:04:30]  systematic error bilene mentar wale. Unit conversion
[00:04:30 -> 00:04:33]  by the way mayet mit churut nagar no.
[00:04:33 -> 00:04:36]  Systematic error bilene mentar chulet tayinit
[00:04:36 -> 00:04:39]  uncertainty measurement yeme ghulet tayinit error
[00:04:39 -> 00:04:42]  alen. Yeme jemerew systematic error no.
[00:04:42 -> 00:04:45]  Systematic error bilene mentar awt is resulting from measuring a device
[00:04:45 -> 00:04:48]  being out of watts. Calibration
[00:04:48 -> 00:04:51]  no. Without calibration beme jemere andi neger
[00:04:51 -> 00:04:54]  mejer kamadre gachimbe fit. Without calibration
[00:04:54 -> 00:04:57]  maaletanu. Instrumentachun satastakunu
[00:04:57 -> 00:05:00]  mejerle tadirgutich laletanu maaletanu. Selezig
[00:05:00 -> 00:05:03]  andi neger mejer kamadre gachimbe fit yemetakun bet
[00:05:03 -> 00:05:06]  material calibrate wey mastakakal
[00:05:06 -> 00:05:09]  laletanu. Lemesali
[00:05:09 -> 00:05:12]  titration bemen sarabbesat
[00:05:12 -> 00:05:15]  the chemistry maaletanu. Titration bemen sarabbesat
[00:05:15 -> 00:05:18]  burete mipal betam small yonen scale
[00:05:18 -> 00:05:21]  laletanu. Yane neger yitachin noichal
[00:05:21 -> 00:05:24]  itla ye neger noichal wey bostu lela substansi norechina maatenu
[00:05:24 -> 00:05:27]  yeme jemerew mesratchin mastakakal no. Digital yonen material
[00:05:27 -> 00:05:30]  calibrate
[00:05:30 -> 00:05:33]  systematic error
